achauni_to stone
achaunái_to petrify
achinchi_to dechain
achrúi_to heighten
achuvli_to snatch
achwaghni_to attend to
achwi_to speed
achwávi_to catch
achwédhi_to worship
achíthi_to field
achóimi_to happen accidentally
adhelghe_to retain
adhghar_to accuse
adhghóva_to apply
adhiantha_to strive
adhichi_to appropriate
adhrethi_to attack
adhródhi_to add
adhurni_to alarm
adhwathi_to improve
adhávó_to demonstrate
adhóiar_to proclaim
aghni_to discuss
aghnúi_to struggle
aiedhnúni_to modernise
aiédhi_to face
alathi_to savage
alaudhi_to trill
alauni_to wander
alausi_to flit
ali_to feed
aliúni_to imagine
alvani_to air
alíudherthi_to tattoo
amanthári_to insert
amarchi_to observe
amchan_to theorise
amchwichi_to defend
amchwéithi_to campaign
amchwépi_to hint
amchwéri_to guide
amdhelghe_to wrestle
amdhés_to organise
amghar_to announce
amghávi_to avoid
amiláthi_to buckle
amithing_to vary
amlóchi_to manifest
amri_to rain
amródhi_to devote
amthechi_to proceed
amthái_to wrap
amwi_to stream
amái_to serve
amáni_to time
amápis_to visit
amía_to enclose
amíthi_to surround
anadhári_to haunt
anaghni_to slash
anavrithi_to mind-blow
anaváthi_to fight blindly
ancherthi_to err
anchi_to hook
anchnausi_to anchor
anchrédhi_to disbelief
anchwirwi_to civilise
anchéni_to delay
aneli_to wait
anersúiar_to deride
anghnithi_to wonder
anghávi_to miss
anghóva_to unfold
aniathi_to keep
animi_to swamp
anlanwi_to empty
anoédhi_to dwell
anserwi_to loosen
ansirachwi_to fertilise
ansuscochi_to malfunction
antha_to end
anucharthi_to disinfect
anvithwachi_to sectarianise
anvuri_to humiliate
anwi_to name
anáthi_to blow
anéchichi_to slaughter
anéchára_to adore
anédhichi_to scour
anédhilinwi_to exhaust
anédháma_to condone
anédhúi_to build a repertoire
anéi_to protect
anéiávi_to save
anélonchi_to consume
anéthái_to fuss
anévói_to smash
anóachi_to internalise
anóni_to enter
arachni_to cake
archathé_to project
archi_to wrench
archrávi_to program
archwidhli_to signal
archwídhi_to sign
ardherchi_to boast
ardhróni_to skirmish
ardhwi_to raise
argha_to shine
arghanghováni_to coin
arghar_to present
arghiúni_to snow
arlúi_to promise
arsá_to prevent
arthi_to growl
arthrévi_to farm
arthwi_to structure
arthái_to introduce
arthéchi_to interrupt
arvudhini_to preserve
arvéla_to project
arvór_to use
arwerchi_to cultivate
arwéri_to please
arádha_to propose
arámi_to calm
arémi_to respect
arúri_to discover
aspáthli_to explore
asédhi_to establish
asónerchi_to gaze
asóni_to dream
athachwávi_to catch up
atharghar_to represent
athechlé_to repulse
atheghni_to descend
athenávó_to re-enact
athenóchi_to reascend
athespá_to answer
athevrívi_to revamp
athi sán shuchel_to take a low profile
athi sán_to take a stance
athi_to foster
athrévi_to inhabit
athuchi_to ressurect
athái_to hug
atháli_to feedback
athápis_to see again
athávó_to do again
athécharni_to reconstruct
athéchathé_to reject
athéchlechi_to echo
athéchoserwi_to examine
athéchwerghe_to react
athéchwerthi_to return
athéchéthi_to reforest
athédherchi_to revise, “to look at again”
athédhiantha_to restart
athédhichi_to retaliate
athédháthi_to replace
athéian_to regenerate
athéiar_to repeat
athéiáva_to recover
athélanwi_to refill
athémen_to rethink
athémenvethi_to remind
athénói_to renovate
athénóia_to renew
athépeládha_to repost
athérethi_to re-run
athéri_to father
athérísi_to retie
athéródhi_to report
athéróthi_to recycle
athésuchéni_to refresh
athésái_to research
athéver_to refer
athéviúni_to revive
athévrís_to re-break
athíri_to land
athúri_to alert
auchamwi_to inflect
aucharthi_to ban
auchlé_to repel
auchwepi_to apologise
auchwerthi_to make a version
auchwini_to expulse
audhelghe_to deprive
audherchi_to despise
aughar_to defend
aughávi_to remove
aurathwi_to spoil
ausi_to listen
ausédhi_to express
authechi_to elude
authái_to arrange
auvráia_to spend
averthwi_to sacrifice
avesi_to accustom
avéli_to instruct
bachi_to burden
balani_to sweep
bali_to fuck
balwi_to cave
balári_to go bald
balúa_to cave
bani_to peak
banlathi_to corner
bansáni_to standardise
bara_to top
bardhiúni_to satirise
barna_to judge
barnéithi_to sentence
bas_to fade
basci_to braid
bathi_to fight
bathuvri_to row
bathuvrichwi_to disguise
bauni_to make muddy
bedhwi_to persuade
beleni_to halucinate
benchwethi_to wed
benwi_to cart
ber_to carry
berthi_to rock
berwen_to inform
berwi_to source
berádha_to send
bescothi_to follow the old ways
birvé_to decide
bis conovn can_to be afraid of
bis genthu_to be born
bis i-_to belong to
bis_to be
bisuni_to exist
bithi_to live
bithwachi_to secularise
blani_to soften
blasi_to taste
blathwi_to grind
blathúni_to flower
bledhweni_to whore
bledhweniathi_to pimp
bluthái_to inflate
bléi_to extract
bochi_to mouth
bodhi_to bleach
bodhwi_to crow
bodhári_to bother
bolghi_to swell
bolghnáthi_to provoke
boni_to found
bonwen_to plan
borwi_to boil
boréli_to tool
bosi_to measure
bospetha_to beg
bothéia_to stable
brachi_to brew
brachwi_to tar
bradhechani_to promise
braiúni_to whine
branchi_to paw
brathwi_to thank
brauni_to mill
brenwi_to rot
briani_to elevate
brichi_to stain
brisali_to fragment
brisentha_to trip with halucinogens
brithechi_to trip in the mind
brithwi_to consider
briáthi_to bridge
brochi_to annoy
broni_to breastfeed
bráia_to weigh
bréthi_to reflect
bréthri_to verbalise
brís_to break
bríthi_to perform magic
brívi_to patch
bróia_to camp
brúi_to bellow
buchwi_to haunt
bulghe_to bag
buni_to floor
buswi_to kiss
bádhi_to flood
báia_to combat
bárwi_to rage
báréia_to dawn
báthwi_to appear
bé_to cut
bédhi_to dig
bédhichi_to whip
bédhuvni_to carve
béiasi_to punish
béla_to reject
bíli_to block
bíri_to shorten
bísi_to finger
bóa_to increase
bódhi_to gain advantage
bói_to hit
bóimothi_to wank
bóni_to base
bór_to agitate
cachwi_to shit
cal_to scream
calethani_to steel
calghi_to point
caltheghné_to roof
calwi_to shoe
caléthi_to harden
cama_to step
camaiúri_to goose-step
camiúni_to twist
camthrechi_to cripple
camthóia_to aim
camwéni_to grade
canathespá_to tutor
canathi_to message
canchi_to branch
canchwerthi_to adapt
canghar_to agree
canghávi_to consume
canléia_to confuse
cansóithi_to count, to tally
canthli_to play music
canthwi_to circle
canthái_to choose
canthápis_to witness
canthédhi_to surface
canver_to relieve
canwi_to whelp
carlúithi_to truck
carnchothi_to ruin
carni_to build
carnuchi_to trumpet
carnúa_to pulse
carwoni_to weasel
casuratha_to expect
catha_to throw
cathachi_to give battle
cathwi_to battle
cauni_to screech
cavarchi_to snarl
celamwi_to rival
celthi_to conceal
celwi_to hammer
celúni_to predict
cenchi_to plough
cenratha_to hope
cerdhi_to work
certhi_to correct
cichi_to butcher
cichrói_to wound
cighnáthi_to cradle
cimri_to steal
cinchi_to chain
cinelghe_to continue
cinge_to wage war
cinghéli_to take precautions
cinsudherchi_to preview
cinthái_to do foreplay
cinvóni_to precede
cinái_to experiment
cithi_to bring
clachi_to clank
cladháli_to stab
clechi_to ring
clethi_to frame
clethpopi_to roast
clethwéni_to roster
clithi_to support
clitháli_to pale
cluthwi_to celebrate
cládhi_to dig
clé_to push
clétheni_to shoot
clói_to wet
clúi_to hear
cnami_to bone
cnamáli_to rib
cnughni_to read
cnusi_to pick
cnái_to bite
cochanáthi_to communicate
cocharni_to compile
cochatha_to symbolise
cocherdhi_to collaborate
cochlé_to constipate
cochrávi_to record
cochóri_to confederate
codherchi_to regard
codhíái_to convene
colanwi_to fulfill
colavar_to converse
coli_to fill
colichi_to connect
colimi_to drug
comarpeni_to oppose
comathi_to complete
comprini_to partner
coméri_to dam
comóini_to grieve
conantha_to define
conathespa_to correspond
conauthái_to coordinate
conchi_to claw
conesi_to date
conghávi_to engage
conghéli_to bet
conghóvi_to complicate
consái_to conquer
conthái_to syntactise
conwi_to reason
conádha_to combine
conái_to suit
conáma_to federate
conáthi_to unite
conóivi_to consecrate
copétha_to invite
coren_to mix
corwi_to dwarf
coráia_to conflict
coráni_to share
coréi_to advice, to counsel
corési_to contest
coserwi_to confirm
cosédhi_to impress
cothi_to present
covitháni_to incorporate
covrithi_to comment
covruni_to confide
covráia_to cost
covuri_to presume
crachwi_to fester
cravorwi_to film
cren_to collapse
crichi_to curl
cridhwi_to centre
crin_to worry
crisáchi_to christianise
crithi_to tremble
crithávó_to terrorise
criéni_to chafe
crochini_to skin
croswi_to surf
crári_to buzz
crávi_to write
crédhi_to believe
créi_to sort out
cródhghar_to scream
crói_to bleed
crómisi_to menstruate
crósi_to dip
cudhi_to put away
cumi_to hollow out
cus_to joke
cáia_to hedge
cáithi_to slave
cáithávó_to imprison
cára_to love
céli_to marry
céri_to comb
céthi_to forest
cóchwerthi_to change
cóia_to lie
cóili_to make narrow
cónéa gwer_to rely on
córódhi_to contribute
dacheli_to pair
dachri_to shed tears
daghli_to torch
dalwiri_to be foolish
dalwíri_to fool
darsi_to sting
daróchi_to disturb
daróthi_to cycle
dauni_to burn
dautháia_to disarray
delghe_to hold
delghwi_to needle
delghári_to school
delsá_to trap
depri_to eat
deprughlén_to diet
deprunóithi_to dine
derchi_to look
derchwen_to realise
derchávi_to notice
derserwi_to drum
diaiédhi_to deface
dianchi_to escape
diantha_to begin
diarvor_to not-use
diarwéri_to displease
diarémi_to disrespect
dicharni_to destroy
dichelthi_to reveal
dichi_to punish
dichluthi_to defame
dichlé_to pull
dicholichi_to disconnect
dichrédhi_to not-believe
dichwichi_to avenge
dichworéthi_to sabotage
dichéli_to divorce
dichéni_to show
dichéthi_to deforest
dichór_to open
didhili_to detach
didhuthi_to dishonour
didhúri_to interest
dierthi_to skip
dighne_to blame
dighni_to not-know
dili_to attach
dilinathi_to destine
dilinwi_to drain
dilinái_to undress
diluthri_to clean
dilúi_to cheat
dimantha_to stay
dimedháchi_to centralise
dimenvéthi_to forget
dimesi_to disappoint
dinéa_to doubt
dinóivi_to desacrate
dipantha_to spare
diranarthwi_to dematerialise
diranarthwían_to dematerialise
diruchi_to glorify
diruni_to betray
diráia_to back
diréithi_to plunder
diselwi_to disown
disolwi_to progress
diswéli_to shade
disámi_to fall
disóni_to wake (up)
dithanchi_to trouble
dithechi_to arrive
dithing_to alter
dithonchi_to lie
dithruchi_to flake
dithrévi_to abandon
dithái_to abandon
dithéghni_to uncover
dithéithi_to dispossess
dithíri_to unearth
divarni_to ravage
divathudháli_to eclipse
divathwi_to disappear
diver_to drop
divlasi_to bore
divrói_to emigrate
divóa_to decrease
diédhri_to extinguish
dióva_to forge
diúri_to lose
dodhróni_to arm
doedhi_to double
dolvi_to burrow
donelghe_to kidnap
doédhi_to double
drasci_to dredge
dres_to ascend
drili_to rip to pieces
druchar_to shout
druli_to scrap
drungi_to discipline
druthási_to encourage
dréswi_to attract
dróni_to quarrel
drúchi_to rape
duchan_to howl
ducharthi_to contaminate
duchi_to lead
duchrís_to throw up
duchumi_to depress
duchwerthi_to distort
duchwéithói_to slander
duchwépi_to dispute
duchwóthi_to execute
dudhali_to obscure
dudhelghe_to capture
duiantha_to envy
duiuswi_to violate
duiáthi_to steal
dulimwi_to poison
duling_to stumble
dulonchi_to choke
duluthri_to pollute
duléi_to stray
dumani_to smoke
dumen_to suspect
dumni_to darken
dumóli_to ridicule
dunachi_to engage in politics
dunátha_to risk
durathwi_to doom
durichái_to rip
durni_to punch
durwachi_to urbanise
duscuvli_to grab
duspá_to insult
duswer_to mistreat
duthi_to honour
duthróiar_to wail
duthái_to mess up
dutháimáli_to contaminate
duvarna_to criticise
duvasci_to hamper
duvinsúi_to ingrain
duvlasi_to disgust
duvnwen_to think deeply
duvor_to trick
duvwen_to despair
duvádhi_to drown
dwarvor_to abuse
dwarwéri_to detest
dwaéli_to fart
dworthi_to abort
dwáni en in médhu_to be an arsehole
dwáni_to piss
dwápis_to spy
dwódhi_to stink
dwóithi_to curse
dwóvúi_to deform
dwúnái_to flood
dáchwépi_to pretend
dáithuthréi_to engineer
dáma_to accept
dáni_to administer
dápáni_to balance
dári_to agitate
décha_to accomplish
dédhi_to dedicate
dédhívi_to libate
déiar_to divine
déorvu_to beat
dés_to prepare
dévrethi_to frustrate
díar_to deny
días_to initiate
díni_to date
díái_to come
dóchi_to create
dóri_to bull
dúi_to fabricate
dúiar_to cry
dúli_to derive
e-rethanachwi_to email
echachi_to purge
echiathi_to lend
echinchór_to exclude
echinge_to charge
echnusi_to pick out
echrani_to limit
echughri_to depart
echumi_to mould
echuthi_to evoke
echwichi_to lose
echworéthi_to abandon
echái_to go out
echávi_to except
echóvwi_to protrude
echúsi_to languish
edhíái_to come from
eladháchi_to hellenise
elamsiri_to tantalise
elwi_to gain
eléithróni_to electrocute
empá_to tell
eméni_to butter
enaiédhi_to envisage
enathi_to engender
enchanthwi_to encircle
enchlitháli_to impale
enchrávi_to inscribe
enchwaghni_to intend
enchwéithi_to access
encháithi_to enslave
encháma_to make an incursion
enelghe_to contain
enghar_to summon
enghercháma_to infiltrate
enghóvi_to imply
eninchór_to include
enlói_to entomb
enrethi_to invade
enródhi_to surrender
enserwi_to engrain
ensái_to investigate
ensédhi_to reside
ensési_to affect
entherghar_to negotiate
entherái_to intercede
envitháni_to embody
envrói_to immigrate
envé_to draw
envéthi_to draft
enádha_to insert
enái_to enter
enávó_to enact
enédhi_to position
enói_to innovate
enúni_to flood
enúri_to invent
eriúni_to extricate
ernghar_to retract
ernái_to retreat
eródhi_to edit
esci_to fish
esédhi_to drive a chariot
ethechi_to remain
etheli_to feather
ethiri_to take off
ethni_to fowl
ethári_to astonish
evalwi_to excavate
evarni_to award
ever_to take leisure time
everadha_to emit
froghni_to snore
fruthi_to rush
fruthuli_to rustle
frí_to spread
galichási_to romance
galvi_to get fat
galvávó_to gatten
gani_to bring forth
gar_to call
garchwothi_to demand
garghar_to roar
garghi_to savage
gariédhi_to announce
gavuchi_to lift
gaváli_to part
gen_to bear
gerchama_to crawl
geráli_to paddle
glanerchi_to mirror
glanisa_to crystalise
glanumáni_to cleanse with smoke
glanwi_to clarify
glasruni_to plant
glauni_to precipitate
glióni_to obstruct
glén_to choose
glí_to stick
gnasi_to have sex
gnisái_to study
gnithwéni_to schedule
gnithóni_to rank
gní_to know
gorthi_to hedge
govwi_to mouth off
gováni_to forge
graulái_to silt
grauni_to sand
gró_to crush
gulvi_to scratch
gulvúni_to chisel
gusi_to force
guthi_to invoke
guthlavarwi_to accentuate
gwachi_to quarrel
gwaghni_to slope
gwani_to kill
gwarchóili_to crack
gwardhi_to laugh
gwasi_to serve
gwathióni_to prophesise
gwel_to want
gwelauni_to command
gweléthi_to perceive
gwenetháchi_to commercialise
gwenwi_to smile
gwenéthi_to trade
gwepruni_to codify
gwepráia_to prepose
gwepsái_to riddle
gwerchalghi_to indicate
gwerchali_to string
gwerchrávi_to print
gwerchuni_to draw a line
gwerchwini_to rope
gwerchwéádhi_to thread
gwercháia_to besiege
gwerchári_to garden
gwerchúdhi_to veil
gwerchúi_to align
gwerdherchi_to oversee
gwerghar_to support
gwerghe_to act
gwerghávi_to surprise
gwerliúni_to paint
gwerlámi_to treat
gwerlóchwi_to illustrate
gwerpenachi_to specialise
gwersédhi_to occupy
gwerthali_to mutate
gwerthi_to turn
gwerthréchi_to rout
